class,precision_baseline,precision_smote,recall_baseline,recall_smote,f1_baseline,f1_smote,support,f1_delta,recall_delta
N,0.9892714434287591,0.9915291529152915,0.9975162821503477,0.9949221768407109,0.9933767554346332,0.9932227670946058,18118.0,-0.00015398834002744444,-0.002594105309636774
S,0.9323467230443975,0.8778195488721805,0.7931654676258992,0.8399280575539568,0.8571428571428571,0.8584558823529411,556.0,0.001313025210084029,0.046762589928057596
V,0.9745222929936306,0.9794617563739377,0.9509668508287292,0.955110497237569,0.9626004893393918,0.9671328671328672,1448.0,0.004532377793475373,0.004143646408839796
F,0.8881118881118881,0.8322981366459627,0.7839506172839507,0.8271604938271605,0.8327868852459016,0.8297213622291022,162.0,-0.0030655230167994096,0.043209876543209846
Q,0.9974905897114178,0.9925326695706285,0.9888059701492538,0.9919154228855721,0.9931292941911305,0.9922239502332815,1608.0,-0.0009053439578490252,0.003109452736318352
